scope,url,requested_url,method,sensitive_no_body,source_reasons,status,final_url,redirect_chain,content_type,content_length_header,bytes_read,body_sha256,title,meta_robots,warning_present,structural_issues,elapsed_ms,error
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_12_Operacoes_Especiais.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_12_Operacoes_Especiais.htm,HEAD,True,html-link:painel-fiscal/index-v2-backup-2026-04-19.html:navigation;html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_12_Operacoes_Especiais.htm,,text/html,5082603,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,975.269,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_13_ATIVIDADES_ESPECIAIS.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_13_ATIVIDADES_ESPECIAIS.htm,HEAD,True,html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_13_ATIVIDADES_ESPECIAIS.htm,,text/html,1964361,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,869.423,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_0715_2005.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_0715_2005.htm,HEAD,True,html-link:compliance-transportadoras.html:navigation;html-link:manual-fiscal.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_0715_2005.htm,,text/html,110926,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,854.898,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1398_2018.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1398_2018.htm,HEAD,True,html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1398_2018.htm,,text/html,501999,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,793.562,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1518_2022.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1518_2022.htm,HEAD,True,html-link:painel-fiscal/index-v2-backup-2026-04-19.html:navigation;html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1518_2022.htm,,text/html,4015276,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,1002.335,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1528_2022.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1528_2022.htm,HEAD,True,html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1528_2022.htm,,text/html,569861,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,926.88,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1563_2023.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1563_2023.htm,HEAD,True,html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1563_2023.htm,,text/html,651484,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,1019.141,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1566_2023.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1566_2023.htm,HEAD,True,html-link:painel-fiscal/index-v2-backup-2026-04-19.html:navigation;html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1566_2023.htm,,text/html,573587,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,965.679,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1590_2024.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1590_2024.htm,HEAD,True,html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1590_2024.htm,,text/html,730008,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,1003.79,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1615_2025.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1615_2025.htm,HEAD,True,html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Secretario/IN/IN_1615_2025.htm,,text/html,708583,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,934.266,
