chave,caminho_ou_id,git,filesystem,sha256,status,evidencia
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/subagents.json,auditoria/execucoes/monitor-v3-2026-07-12/subagents.json,True,True,904765c38cf68c3c7b67c382965094654b1b77947750e1ad8a6ade0f4ee13a2e,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/subagents_platform_receipts.json,auditoria/execucoes/monitor-v3-2026-07-12/subagents_platform_receipts.json,True,True,1bcbd4158c308dacb9c487b5602248b16b12c2b3e93877b29f08c3b30d3ff813,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/workflow.md,auditoria/execucoes/monitor-v3-2026-07-12/workflow.md,True,True,9cc5c842c23b461472cdba245e112ed2d11aa028e95c5672fde428fccd6d8eb9,OK,git ls-tree + filesystem
arquivo::auditoria/index.html,auditoria/index.html,True,True,1af953aaf7eda53ef9c1ff4c310c8630353283347e7a9e08f5980efd3620d23e,OK,git ls-tree + filesystem
arquivo::beneficios/cesta-basica.html,beneficios/cesta-basica.html,True,True,7ea5a8cff3a1186fdd5498e65b4470d51da77d3761b597c187ad6bb823996bd3,OK,git ls-tree + filesystem
arquivo::beneficios/compensacao-icms.html,beneficios/compensacao-icms.html,True,True,e924e1f118943aa3a9ba5bb74c31eed3c9fae4da9e53b23c33180c7f8dc1f41a,OK,git ls-tree + filesystem
arquivo::beneficios/documentos-de-prova.html,beneficios/documentos-de-prova.html,True,True,9aab4e3fc00a30ea60ec27699b028bb4f8ffb0ccc21e2eaad2ca5d624e10ab54,OK,git ls-tree + filesystem
arquivo::beneficios/index.html,beneficios/index.html,True,True,8e89f7101a6054f53c1a6ee80ac5c5f242e1278ba065f5c90dc5c3915dc54f7b,OK,git ls-tree + filesystem
arquivo::beneficios/ncm.html,beneficios/ncm.html,True,True,c7da557ffdf7d6f17025ccaf377d0b4377cfab907506297495d1d3ad44be4713,OK,git ls-tree + filesystem
arquivo::beneficios/reforma.html,beneficios/reforma.html,True,True,3333ea3b2216c57054386eb9b88cea56c6a1792a12c5b89392e4c7da5a5acc1b,OK,git ls-tree + filesystem
arquivo::beneficios/regimes-diferenciados.html,beneficios/regimes-diferenciados.html,True,True,6a320d35e8fd4c7f21bb1563e69ee379fac4e877b8f76837efe403fc2db0f405,OK,git ls-tree + filesystem
arquivo::beneficios/setores.html,beneficios/setores.html,True,True,77f1cdbe3f69f8314d97b5c8cc0cd2b83fe0583ec956727bd6957aefabc384a5,OK,git ls-tree + filesystem
arquivo::beneficios/uf.html,beneficios/uf.html,True,True,0b5d5e7c8c9153a8d90be9a2e708f3763aa389d1334ac06e8f28a7c2e224c50d,OK,git ls-tree + filesystem
arquivo::biblioteca/index.html,biblioteca/index.html,True,True,022649b95ad09886c4de471088ce97e92b242b0fc6331d11500584af45cd67e1,OK,git ls-tree + filesystem
arquivo::ciclo_mdfe.png,ciclo_mdfe.png,True,True,52f4843b674dcd13ec18df595912b76f5fb2f73de3e01180c2bd03ad3f45e688,OK,git ls-tree + filesystem
arquivo::compliance-transportadoras.html,compliance-transportadoras.html,True,True,a16b892005a87837930e586a1d49fc03b711468f2a5f33a9ffc824a06579f328,OK,git ls-tree + filesystem
arquivo::confaz/index.html,confaz/index.html,True,True,37cacfabaf974469ad9426d996ad4f3534354ee22fe0f568783cd715e68c1c01,OK,git ls-tree + filesystem
arquivo::confaz/ultimos-5-anos.html,confaz/ultimos-5-anos.html,True,True,73b2f580eb61d17379e372e04e9b0930e3a798c2e8c52c768b7ce83c59bb0145,OK,git ls-tree + filesystem
arquivo::data/benefits_crosswalk.json,data/benefits_crosswalk.json,True,True,552ded43ab72c3fd94c6a92d64bdda554bc56372f668346a784070cac8878f20,OK,git ls-tree + filesystem
arquivo::data/benefits_quarantine.json,data/benefits_quarantine.json,True,True,cb9ae22b8932ee8487606b8db2cb033900b5cacb8b42a3a3036f396a88f7a032,OK,git ls-tree + filesystem
arquivo::data/confaz_ultimos_5_anos.json,data/confaz_ultimos_5_anos.json,True,True,9b8a4efe8e636d8f468bb7c2d487f5ac2f1c5f391ad967fd922a201339444541,OK,git ls-tree + filesystem
arquivo::data/corpus-local/legal_sources_registry.json,data/corpus-local/legal_sources_registry.json,True,True,d1f538069e43579b52963561f8bd77b813ddb273489f63cef3c0698098765f67,OK,git ls-tree + filesystem
arquivo::data/corpus-local/uf-sealing-plan.json,data/corpus-local/uf-sealing-plan.json,True,True,42cdc64189c654ead3840476d6e6e3bb02f5569d088eca16a171d2f6f6b3a4a6,OK,git ls-tree + filesystem
arquivo::data/cowork/portal-package-manifest.json,data/cowork/portal-package-manifest.json,True,True,1b21a54cb88103b3cae63be876727e8a10a11a1afbdf47e7daf2c026f83946c4,OK,git ls-tree + filesystem
arquivo::data/fontes-estaduais-curadas/centro-oeste/DF/DF_DEC_18726_1997_AGRO_DIFERIMENTO_2026-04-26.txt,data/fontes-estaduais-curadas/centro-oeste/DF/DF_DEC_18726_1997_AGRO_DIFERIMENTO_2026-04-26.txt,True,True,7e2f6c6215f8eab5927d11d3351217bb97c7c981e9edb3c94e72de031f1d9959,OK,git ls-tree + filesystem
